sweep,N,K,a,seed,E0,Ef,drop,R,Lk,monotone
grid,10,3,0.24,20,18.71501393262208,17.160904994480106,0.08304075774333321,0.7251965439531622,-0.9593387476419137,True
grid,12,3,0.24,22,19.280425157000238,16.92677587364116,0.12207455303466315,0.6967751096473453,-0.9041608493261012,True
grid,14,3,0.24,24,19.4934164412062,17.976817361411147,0.07780057869123379,0.6424755433981522,-1.0116791555327016,True
grid,16,3,0.24,26,19.72764174767915,17.62107970413038,0.10678225357557478,0.6554680482833846,-0.9564656376554831,True
basis,14,2,0.24,32,19.100772273811312,17.122453693219445,0.10357270126215268,0.5670025413169731,-1.0040230590491332,True
basis,14,3,0.24,33,19.508332170223643,17.13085210094752,0.1218699809153837,0.6600615134443827,-0.8032226829800452,True
basis,14,4,0.24,34,19.587280311794657,18.08046625603187,0.07692819175388259,0.6809295135629967,-1.018072691164689,True
basis,14,5,0.24,35,21.191295509935102,19.645555007816846,0.07294223712720008,0.7895231832754932,-0.9720988970256829,True
width,14,3,0.18,180,20.24082297933772,18.370814976557618,0.09238794315275861,0.8993062775652652,-0.9453297444134402,True
width,14,3,0.24,240,19.341871583032123,18.33748649310552,0.05192801976866149,0.7379757857554753,-0.9381958491686535,True
width,14,3,0.3,300,18.58896687801509,17.177672572371485,0.07592107269354073,0.7199543174521671,-1.2194570737328658,True
width,14,3,0.36,360,18.317001398191064,16.013107813191763,0.12577897085419382,0.5976103823277121,-0.9534222924023911,True
reperturb,14,3,0.24,77,19.230221078242277,17.820827335631378,0.07329056368496639,0.5933764460021147,-1.0042943590486038,True
reperturb,14,5,0.24,78,20.562212793534847,17.878595687885937,0.13051207730389264,0.6060262445486109,-1.038917976425916,True
reperturb,14,5,0.24,79,17.97509106793281,17.356498789774754,0.03441386059298527,0.6370322175974957,-0.8422141580642886,True
