seed,modes,lambda_FT,H_drop,L1_drop
17,1,-3.151504057725095e-11,1.1102230246251565e-16,-2.220446049250313e-16
17,2,0.5530510610311979,0.49875039982674074,0.09919748393534977
17,4,2.2975121427418435,0.33899689427043345,0.14164631062217448
17,8,10.700996030572622,0.8568994679455401,0.6553405231417762
17,16,20.380611668382087,0.9036382482671729,0.7019264372288572
17,32,43.31774137259703,0.8793754148601161,0.6573995847697617
17,64,82.88009925516575,0.800299591436483,0.6273213311453301
29,1,-4.1418480099296996e-11,0.0,1.1102230246251565e-16
29,2,4.680973022834248,0.5552141336268697,0.20743882472630903
29,4,11.758675022014117,0.7955967908177762,0.5617041295514562
29,8,9.752366381991934,0.8707356800388353,0.6623735572811499
29,16,25.880708078928944,0.8504184891654445,0.6400705570490348
29,32,53.047841367260816,0.8792550005395936,0.657000984243742
29,64,97.87234744286977,0.6827926462267742,0.5661163762397489
43,1,1.746935929247565e-12,-2.220446049250313e-16,0.0
43,2,3.8393927099972576,0.7153380107200673,0.3612632410762482
43,4,6.211679391575198,0.762292251951008,0.5264489245439354
43,8,9.687150333856328,0.8841039037050684,0.6724990373654012
43,16,21.477744433179385,0.8223433437783696,0.5945647304419213
43,32,47.67421328614021,0.8763989189337194,0.6741159308623521
43,64,91.10103754292567,0.6447110102649706,0.5032475921800008
