samples,strand,harmonic_index,curve_length,omega_pair_mean,omega_over_fundamental
128,0,1,2.7725235486343225,2.2665276833122157,1.0
128,0,2,2.7725235486343225,4.53482113245213,2.0007790621048662
128,0,3,2.7725235486343225,6.806644559507433,3.0031155629038984
128,0,4,2.7725235486343225,9.08375941773539,4.007786661780692
128,0,5,2.7725235486343225,11.367921966641559,5.015567226617289
128,1,1,3.587056141384256,1.7519051463599364,1.0
128,1,2,3.587056141384256,3.505477076407824,2.000951412062128
128,1,3,3.587056141384256,5.262379207149634,3.0038037265223347
128,1,4,3.587056141384256,7.0242665222200085,4.00950161988784
128,1,5,3.587056141384256,8.792784401409422,5.018984286722854
256,0,1,2.7729637911425575,2.265947143031612,1.0
256,0,2,2.7729637911425575,4.532335831574889,2.0001948613466216
256,0,3,2.7729637911425575,6.799607514917119,3.000779402921076
256,0,4,2.7729637911425575,9.068203474144472,4.0019483693746345
256,0,5,2.7729637911425575,11.33856467919386,5.003896368043249
256,1,1,3.5876224338115827,1.7514202765312805,1.0
256,1,2,3.5876224338115827,3.503257565454537,2.0002380995570075
256,1,3,3.5876224338115827,5.255928669374084,3.0009522784465794
256,1,4,3.5876224338115827,7.009849867647879,4.0023802176888195
256,1,5,3.5876224338115827,8.765436854186758,5.004759264033909
512,0,1,2.773074093811138,2.265801820060668,1.0
512,0,2,2.773074093811138,4.531714033015969,2.000048721337257
512,0,3,2.773074093811138,6.797847025777319,3.0001948827083664
512,0,4,2.773074093811138,9.064311174698652,4.000487198150433
512,0,5,2.773074093811138,11.331216837045453,5.00097437327597
512,1,1,3.587764272491925,1.7512989099543121,1.0
512,1,2,3.587764272491925,3.5027020927912824,2.000059540311517
512,1,3,3.587764272491925,5.25431380837514,3.000238153812483
512,1,4,3.587764272491925,7.006238283798892,4.000595354668308
512,1,5,3.587764272491925,8.75857970986145,5.001190636320298
