alpha,samples,strand,mode,eigenvalue,dominant_l,score_l0,score_l1,score_l2,length,potential_min,potential_max
0.0,128,0,0,-2.954213002938715e-12,0,0.9999999999999997,0.9041785605684812,0.9996831648647813,2.7725235486343225,-0.0,-0.0
0.0,128,0,1,5.1371078315127185,2,1.1857616393577687e-26,0.6118924722390061,0.9589358849922307,2.7725235486343225,-0.0,-0.0
0.0,128,0,2,5.137187647088892,2,7.816096972308032e-26,0.7597239442085013,0.9699725349187245,2.7725235486343225,-0.0,-0.0
0.0,128,0,3,20.563653253238613,2,1.1118284433564558e-26,0.1332331125763654,0.263506809034802,2.7725235486343225,-0.0,-0.0
0.0,128,0,4,20.565552175334368,2,4.984111421002902e-28,0.1378139953106488,0.2808129814585436,2.7725235486343225,-0.0,-0.0
0.0,128,0,5,46.327875630359834,2,2.1929747903578335e-29,0.030109481266336547,0.1428513441764525,2.7725235486343225,-0.0,-0.0
0.0,128,0,6,46.332944757908486,2,1.4049791915341979e-28,0.06592549206354788,0.11968843173651705,2.7725235486343225,-0.0,-0.0
0.0,128,0,7,82.50469634883385,2,2.500854689319292e-28,0.064134640456482,0.10990917114914554,2.7725235486343225,-0.0,-0.0
0.0,128,0,8,82.52467457438632,2,6.404617837103294e-28,0.014774171730737102,0.0758229118770012,2.7725235486343225,-0.0,-0.0
0.0,128,0,9,129.2128916838043,2,4.215342562362215e-29,0.04738155711153834,0.08473256089054892,2.7725235486343225,-0.0,-0.0
0.0,128,0,10,129.2464090821455,2,1.0962149482479254e-29,0.01164646305480974,0.06431783721157935,2.7725235486343225,-0.0,-0.0
0.0,128,0,11,186.58597426930115,2,1.2792261446140567e-28,0.026551780256538423,0.06989260088443548,2.7725235486343225,-0.0,-0.0
0.0,128,0,12,186.6535404691464,2,1.0634486867463781e-29,0.021298154997518595,0.061250022209895665,2.7725235486343225,-0.0,-0.0
0.0,128,0,13,254.843508883713,2,5.320216822015048e-33,0.004293686428822568,0.06112968882940325,2.7725235486343225,-0.0,-0.0
0.0,128,0,14,254.8796549370239,2,5.67477982063206e-29,0.03159039305723673,0.055033357520915614,2.7725235486343225,-0.0,-0.0
0.0,128,0,15,334.14272737850024,2,1.5542858723620927e-29,0.021302345562412166,0.045701061670005746,2.7725235486343225,-0.0,-0.0
0.0,128,0,16,334.185355811842,2,6.588169153542878e-30,0.0049700824798113675,0.050338014517455,2.7725235486343225,-0.0,-0.0
0.0,128,0,17,424.72563080853854,2,8.740128234837876e-30,0.01974124794363301,0.037399211837758954,2.7725235486343225,-0.0,-0.0
0.0,128,1,0,7.633093643524634e-12,0,1.0000000000000002,0.49817520554762124,0.9999989378170621,3.587056141384256,-0.0,-0.0
0.0,128,1,1,3.069114642753357,2,1.3313400662848949e-25,0.6523662407491352,0.8919678907265266,3.587056141384256,-0.0,-0.0
0.0,128,1,2,3.0692286414474603,1,1.0181135338298758e-25,0.8563891435576569,0.5429818342304146,3.587056141384256,-0.0,-0.0
0.0,128,1,3,12.28639276593653,2,1.4811093671165306e-26,0.10006074135843969,0.3892537897756353,3.587056141384256,-0.0,-0.0
0.0,128,1,4,12.290346459499322,2,1.1069707614985606e-26,0.08782614552778022,0.3293367643350247,3.587056141384256,-0.0,-0.0
0.0,128,1,5,27.685579303794526,1,1.684226507432459e-28,0.15741770203166025,0.15031866210412537,3.587056141384256,-0.0,-0.0
0.0,128,1,6,27.699691434842627,2,7.252041218118747e-28,0.03498799795863295,0.06647819253418255,3.587056141384256,-0.0,-0.0
0.0,128,1,7,49.3379120071454,2,1.6950039275053533e-29,0.021537924836942515,0.053416345257754974,3.587056141384256,-0.0,-0.0
0.0,128,1,8,49.34272840197091,1,1.800789759539911e-28,0.20659393924780528,0.10870149433557909,3.587056141384256,-0.0,-0.0
0.0,128,1,9,77.29989541987968,2,4.604948461856603e-29,0.010134169368440802,0.11485291710936375,3.587056141384256,-0.0,-0.0
0.0,128,1,10,77.32622075993675,2,4.250887899846909e-32,0.11896597966602182,0.14228400921160417,3.587056141384256,-0.0,-0.0
0.0,128,1,11,111.69229518513606,2,2.5001936247199282e-31,0.08929516167343406,0.09612972611492236,3.587056141384256,-0.0,-0.0
0.0,128,1,12,111.73895926258217,2,1.4428403032152453e-28,0.007401925432997482,0.12662418420707203,3.587056141384256,-0.0,-0.0
0.0,128,1,13,152.667680152223,2,7.4208922099278e-30,0.008313869870902055,0.14611920812415757,3.587056141384256,-0.0,-0.0
0.0,128,1,14,152.6840031456564,2,6.797720319455356e-30,0.05637050951599988,0.07540478348786109,3.587056141384256,-0.0,-0.0
0.0,128,1,15,200.3211739556573,2,2.952457366683373e-29,0.0016550264223694525,0.1310913951812051,3.587056141384256,-0.0,-0.0
0.0,128,1,16,200.36756545902574,2,4.988738185597061e-30,0.032393145661042344,0.06506521199112572,3.587056141384256,-0.0,-0.0
0.0,128,1,17,254.86532651817924,2,2.933439459809725e-30,0.02205837181608815,0.04393833115418866,3.587056141384256,-0.0,-0.0
0.0,256,0,0,1.326567900284303e-11,0,0.9999999999999998,0.9039653108795148,0.999676136734725,2.7729637911425575,-0.0,-0.0
0.0,256,0,1,5.134506436116508,2,9.696469335746848e-25,0.6102813304191054,0.9586604957171535,2.7729637911425575,-0.0,-0.0
0.0,256,0,2,5.134526473957875,2,9.8360873479506e-25,0.7594676583504691,0.9697543674616483,2.7729637911425575,-0.0,-0.0
0.0,256,0,3,20.541830758270258,2,5.6129166663216116e-27,0.13282846806188953,0.2610599351759398,2.7729637911425575,-0.0,-0.0
0.0,256,0,4,20.54230542342021,2,1.393470157832678e-26,0.13750414921580856,0.2777415675398092,2.7729637911425575,-0.0,-0.0
0.0,256,0,5,46.23403015467178,2,3.9705433103657296e-28,0.03018401057447203,0.1410933396709825,2.7729637911425575,-0.0,-0.0
0.0,256,0,6,46.235294563429555,2,2.224678014958538e-28,0.06557131530714073,0.11842852195917865,2.7729637911425575,-0.0,-0.0
0.0,256,0,7,82.22983519149867,2,3.262619491237288e-29,0.06380571124806378,0.10881223148931098,2.7729637911425575,-0.0,-0.0
0.0,256,0,8,82.23479334281268,2,3.8716293110287087e-29,0.014786051366174745,0.07485050870594945,2.7729637911425575,-0.0,-0.0
0.0,256,0,9,128.55891816422582,2,1.9330754891996198e-27,0.04719226935610412,0.08386323901506872,2.7729637911425575,-0.0,-0.0
0.0,256,0,10,128.56717987062297,2,1.8148295259640738e-28,0.011663455754818398,0.06339976211338269,2.7729637911425575,-0.0,-0.0
0.0,256,0,11,185.25452194313317,2,9.885382279934606e-28,0.026824374742224714,0.06907273790394228,2.7729637911425575,-0.0,-0.0
0.0,256,0,12,185.2712992478056,2,5.48848555600272e-28,0.02100107320391585,0.060467975741697357,2.7729637911425575,-0.0,-0.0
0.0,256,0,13,252.37147407159472,2,1.8411667872252026e-28,0.004197887544821085,0.060269701619747366,2.7729637911425575,-0.0,-0.0
0.0,256,0,14,252.38044013390032,2,4.8734666493944265e-28,0.03170394798703779,0.05457007876724823,2.7729637911425575,-0.0,-0.0
0.0,256,0,15,329.94918406179977,2,7.435324835676204e-31,0.021029956736603638,0.045511353540088624,2.7729637911425575,-0.0,-0.0
0.0,256,0,16,329.9593707845716,2,3.554694446533876e-29,0.005271195991808879,0.04965824795641738,2.7729637911425575,-0.0,-0.0
0.0,256,0,17,418.0477347643881,2,7.851772099045895e-29,0.019711118054431816,0.037114059564759536,2.7729637911425575,-0.0,-0.0
0.0,256,1,0,-2.6545226716768885e-11,0,0.9999999999999999,0.4978647926499488,0.999998927332867,3.5876224338115827,-0.0,-0.0
0.0,256,1,1,3.067458697106558,2,4.197676857246886e-25,0.6519331018518184,0.891966972948381,3.5876224338115827,-0.0,-0.0
0.0,256,1,2,3.0674872730805816,1,6.884943546133968e-25,0.8565036365474918,0.5426416996317851,3.5876224338115827,-0.0,-0.0
0.0,256,1,3,12.272320321675615,2,3.652377307146753e-26,0.09984620156436885,0.3889728477648993,3.5876224338115827,-0.0,-0.0
0.0,256,1,4,12.273306828035437,2,3.0493133617489305e-27,0.0874599449287404,0.3284074109017171,3.5876224338115827,-0.0,-0.0
