box,grid_n,h,control,mode,eigenvalue,excitation_gap,outer_shell_probability,r_lt_2p2_probability
3.0,23,0.25,off,0,-15.095187894106989,0.0,7.095302555379486e-06,0.9999544779104945
3.0,23,0.25,off,1,-7.402723734551689,7.6924641595553,0.0033675568684494563,0.9889706435883787
3.0,23,0.25,off,2,-7.402723734551654,7.6924641595553345,0.003367556868449463,0.9889706435883807
3.0,23,0.25,off,3,-7.40272373455164,7.692464159555349,0.0033675568684494537,0.988970643588379
3.0,23,0.25,off,4,-5.8714566163912325,9.223731277715757,0.030168391442037368,0.9204128389362312
3.0,23,0.25,off,5,-3.7467805405007013,11.348407353606287,0.08828112298811547,0.8190924016266722
3.0,23,0.25,off,6,-3.746780540500691,11.348407353606298,0.08828112298886971,0.8190924016141583
3.0,23,0.25,off,7,-3.696382476578038,11.398805417528951,0.053996901518411605,0.8655399471267062
3.0,23,0.25,off,8,-3.696382476578026,11.398805417528962,0.05399690152579908,0.8655399471249872
3.0,23,0.25,off,9,-3.2025565233307898,11.892631370776199,0.20558210825156492,0.6198829105432171
3.0,23,0.25,off,10,-3.202556523330764,11.892631370776225,0.20558210812340322,0.6198829106576516
3.0,23,0.25,off,11,-2.1209382262015213,12.974249667905468,0.39308117254694147,0.4174154923206744
3.0,23,0.25,linked,0,-15.279926562037131,0.0,6.27139449593381e-06,0.9999592039371693
3.0,23,0.25,linked,1,-7.484485953213092,7.795440608824039,0.0031002427201617905,0.9897517227839832
3.0,23,0.25,linked,2,-7.468497030480399,7.811429531556732,0.003142331361186202,0.9896316595703527
3.0,23,0.25,linked,3,-7.451884526087461,7.82804203594967,0.003194046698352148,0.9894810468942995
3.0,23,0.25,linked,4,-5.908949314567031,9.370977247470101,0.02910085827180182,0.9228586811078103
3.0,23,0.25,linked,5,-3.75946635642885,11.52046020560828,0.08685703006762201,0.8216436056754247
3.0,23,0.25,linked,6,-3.756056838918355,11.523869723118777,0.0872198967894075,0.8209979671353799
3.0,23,0.25,linked,7,-3.7499004925290436,11.530026069508088,0.08791960357988843,0.8197460282365231
3.0,23,0.25,linked,8,-3.714703193571476,11.565223368465656,0.05289901695983979,0.8680018424588617
3.0,23,0.25,linked,9,-3.7085823637821713,11.571344198254959,0.05326558258583135,0.8671852463503615
3.0,23,0.25,linked,10,-3.2302793590937786,12.049647202943353,0.20235514788964196,0.6241090179060164
3.0,23,0.25,linked,11,-3.2285893832530683,12.051337178784063,0.20247881962015918,0.6239877537541901
3.0,23,0.25,unlinked,0,-15.246169186020962,0.0,6.423997870337657e-06,0.9999583162234895
3.0,23,0.25,unlinked,1,-7.486120353831327,7.760048832189636,0.0031081532116315107,0.9897227563277119
3.0,23,0.25,unlinked,2,-7.450065896398985,7.7961032896219775,0.0032069925594672,0.9894406937002529
3.0,23,0.25,unlinked,3,-7.439296381189864,7.806872804831098,0.003239960964070204,0.9893451079817229
3.0,23,0.25,unlinked,4,-5.906686945395008,9.339482240625955,0.02917211362192078,0.9226914119267285
3.0,23,0.25,unlinked,5,-3.7619481771029086,11.484221008918054,0.08666092288241889,0.8219817011032505
3.0,23,0.25,unlinked,6,-3.7576043881868424,11.488564797834119,0.08706676591731045,0.8212634510007252
3.0,23,0.25,unlinked,7,-3.7491479583242464,11.497021227696717,0.08801091240174075,0.8195804479368565
3.0,23,0.25,unlinked,8,-3.7199194088622183,11.526249777158744,0.052665177300221876,0.868482158113906
3.0,23,0.25,unlinked,9,-3.7052157539295543,11.540953432091408,0.05350432653449344,0.8666656088368724
3.0,23,0.25,unlinked,10,-3.2280804070877833,12.01808877893318,0.20260010725747757,0.623790319665517
3.0,23,0.25,unlinked,11,-3.2211181958253934,12.025050990195568,0.20326783643365645,0.6229780132087999
3.0,23,0.25,spherical,0,-15.279464682813593,0.0,6.272957734101557e-06,0.9999591952177582
3.0,23,0.25,spherical,1,-7.467997125071332,7.811467557742261,0.0031462425835434116,0.9896194440575973
3.0,23,0.25,spherical,2,-7.467997125071282,7.811467557742311,0.0031462425835434575,0.9896194440576004
3.0,23,0.25,spherical,3,-7.467997125071272,7.811467557742321,0.0031462425835435542,0.9896194440575973
3.0,23,0.25,spherical,4,-5.908944492033231,9.370520190780361,0.029101573045243773,0.9228570096092131
3.0,23,0.25,spherical,5,-3.75572657733195,11.523738105481643,0.08727264131162722,0.8209094275552062
3.0,23,0.25,spherical,6,-3.7557265773319477,11.523738105481645,0.08727264131700103,0.8209094275563885
3.0,23,0.25,spherical,7,-3.710405562264663,11.56905912054893,0.05312783919190037,0.8674699780152897
3.0,23,0.25,spherical,8,-3.7104055622646603,11.569059120548932,0.05312783920118061,0.8674699780261904
3.0,23,0.25,spherical,9,-3.227538441305345,12.051926241508248,0.2025818979999439,0.6238489871094853
3.0,23,0.25,spherical,10,-3.2275384413053065,12.051926241508287,0.20258189802586407,0.6238489870677518
3.0,23,0.25,spherical,11,-2.149258767318001,13.130205915495592,0.3890538228964196,0.42042661231142336
4.0,31,0.25,off,0,-15.095190230103077,0.0,8.940196630761306e-09,0.9999538612226969
4.0,31,0.25,off,1,-7.4051677225126324,7.690022507590444,6.448281700853202e-05,0.9876792802388672
4.0,31,0.25,off,2,-7.405167722512631,7.690022507590446,6.448281700853225e-05,0.987679280238865
4.0,31,0.25,off,3,-7.405167722512593,7.690022507590483,6.448281700852593e-05,0.9876792802388678
4.0,31,0.25,off,4,-5.901197928934737,9.19399230116834,0.0014785881301266016,0.9017098910853709
4.0,31,0.25,off,5,-3.840570624433055,11.254619605670023,0.008245940389288687,0.768548997733565
