box,grid_n,h,control,mode,eigenvalue,excitation_gap,outer_shell_probability
4.0,31,0.25,off,0,-15.095190230103082,0.0,8.940196630761145e-09
4.0,31,0.25,off,1,-7.405167722512662,7.69002250759042,6.448281700855961e-05
4.0,31,0.25,off,2,-7.405167722512631,7.690022507590451,6.448281696378864e-05
4.0,31,0.25,off,3,-5.90119792893476,9.193992301168322,0.0014785881301266133
4.0,31,0.25,linked,0,-15.28160930353719,0.0,7.488461783409595e-09
4.0,31,0.25,linked,1,-7.484977132175881,7.796632171361309,5.716758302019153e-05
4.0,31,0.25,linked,2,-7.469044518127331,7.812564785409859,5.839349646218161e-05
4.0,31,0.25,linked,3,-7.456195817223728,7.825413486313462,5.948525886051077e-05
4.0,31,0.25,surgery,0,-15.283821657545685,0.0,7.47173873973841e-09
4.0,31,0.25,surgery,1,-7.485948686175317,7.797872971370368,5.7074167704598184e-05
4.0,31,0.25,surgery,2,-7.469615894543719,7.814205763001966,5.833731320367456e-05
4.0,31,0.25,surgery,3,-7.455876838497526,7.8279448190481595,5.951686103967598e-05
5.0,39,0.25,off,0,-15.095190232353856,0.0,9.522645415930575e-12
5.0,39,0.25,off,1,-7.405198587743713,7.689991644610143,8.830655650957842e-07
5.0,39,0.25,off,2,-7.405198587743668,7.6899916446101875,8.830655836030419e-07
5.0,39,0.25,off,3,-5.90208310769248,9.193107124661376,4.520334661469082e-05
5.0,39,0.25,linked,0,-15.281609305401643,0.0,7.589976828582909e-12
5.0,39,0.25,linked,1,-7.4850042599976465,7.796605045403997,7.554681659307117e-07
5.0,39,0.25,linked,2,-7.469072258359475,7.812537047042168,7.771436727361052e-07
5.0,39,0.25,linked,3,-7.456224112775882,7.825385192625761,7.96220037566912e-07
5.0,39,0.25,surgery,0,-15.283821659405666,0.0,7.56858514022291e-12
5.0,39,0.25,surgery,1,-7.485975766226534,7.797845893179132,7.53906271329717e-07
5.0,39,0.25,surgery,2,-7.469643606931504,7.814178052474162,7.761988809921216e-07
5.0,39,0.25,surgery,3,-7.455905149584806,7.827916509820859,7.967559773086541e-07
