surgery,mode,linked_minus_unlinked,combined_domain_uncertainty,significant_3sigma,coarse_contrast,domain_stable
center_B_narrow,0,0.0,0.0,False,0.0,True
center_B_narrow,1,-0.0007856052993195917,5.4223154685395514e-05,True,-0.0007855765394069181,True
center_B_narrow,2,-0.0009862621775287295,5.545876589163612e-05,True,-0.0009862442080406097,True
center_B_narrow,3,-0.001658517709924645,5.660161409970499e-05,True,-0.0016585319485988848,True
center_A_wide_tilt,0,0.0,0.0,False,0.0,True
center_A_wide_tilt,1,0.002361324249284813,5.4237148445324124e-05,True,0.002361339015437558,True
center_A_wide_tilt,2,0.0012957716007742093,5.550943176313439e-05,True,0.0012957389043908307,True
center_A_wide_tilt,3,0.0007820051757878588,5.664583066700146e-05,True,0.0007819467205463226,True
center_split_mid_tilt,0,0.0,0.0,False,0.0,True
center_split_mid_tilt,1,0.0006987797638453586,5.423963433681678e-05,True,0.0006987920441066109,True
center_split_mid_tilt,2,0.0003538028153595718,5.5480097324256405e-05,True,0.00035379945341507124,True
center_split_mid_tilt,3,1.3862894550520366e-05,5.660786251837635e-05,False,1.384240745760934e-05,True
left_split_narrow,0,0.0,0.0,False,0.0,True
left_split_narrow,1,0.0002838781994478623,5.4256295162424806e-05,True,0.0002838738188835066,True
left_split_narrow,2,0.0004473022961555273,5.547327998467466e-05,True,0.0004473057515506085,True
left_split_narrow,3,0.00034652833492199164,5.658875557923437e-05,True,0.0003465269547682226,True
right_split_mid,0,0.0,0.0,False,0.0,True
right_split_mid,1,0.0005939990939198836,5.424839898626743e-05,True,0.0005940026095316853,True
right_split_mid,2,0.00036761767047366334,5.547991638099603e-05,True,0.00036761448947242314,True
right_split_mid,3,0.00043219168425068233,5.659090441945125e-05,True,0.0004321881552566964,True
far_right_split_narrow,0,0.0,0.0,False,0.0,True
far_right_split_narrow,1,0.0005017554587114503,5.4250978012149176e-05,True,0.0005017563952973703,True
far_right_split_narrow,2,3.677466283402708e-05,5.549529833182021e-05,False,3.675609988196271e-05,True
far_right_split_narrow,3,0.0005968183213083122,5.6581269638478204e-05,True,0.0005968244270952994,True
