pair,family,label,linking,dmin,match_score,mode,width,tilt,amplitude,E0,gap1,gap2,gap3,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7
0,0,1,-1.000129370321303,0.07207413000599733,0.11500608773965688,linked,0,0,0,-15.281207309104403,7.797271576327658,7.812916798802895,7.825799420008623,7.797271576327658,7.812916798802895,7.825799420008623,7.811995931713059,0.011664632110765683,-0.014724355385401289,0.0009208670898361859,0.013803488295564215
0,0,0,-8.370905681629109e-05,0.05583937811612477,0.11500608773965688,split,23.9961595960243,-0.1349874006596492,0.26499999999999996,-15.28004051282063,7.796175088142446,7.811974716542777,7.824764765421118,7.796175088142446,7.811974716542777,7.824764765421118,7.810971523368781,0.011693223368912237,-0.014796435226334559,0.0010031931739966637,0.013793242052337007
1,0,1,-1.0001597992054896,0.05630900273447208,0.08963745106915202,linked,0,0,0,-15.280715406149248,7.79687656681404,7.81261703438548,7.825102244489526,7.79687656681404,7.81261703438548,7.825102244489526,7.811531948563015,0.011548601026146977,-0.01465538174897496,0.001085085822464471,0.01357029592651049
1,0,0,-0.00010911830070825087,0.055348627424552314,0.08963745106915202,split,24.53171933790508,-0.23435376646377157,0.23999999999999996,-15.2800765836855,7.796153688909138,7.8125586236343745,7.824507894162336,7.796153688909138,7.8125586236343745,7.824507894162336,7.811073402235283,0.011623099151785544,-0.014919713326144723,0.0014852213990916852,0.013434491927053038
2,0,1,-1.0001318953586327,0.060111092811574764,0.13853435269438374,linked,0,0,0,-15.281249783165094,7.7971786410391575,7.813035671163575,7.825353914645361,7.7971786410391575,7.813035671163575,7.825353914645361,7.811856075616031,0.011532709856113491,-0.014677434576873871,0.0011795955475433217,0.013497839029329661
2,0,0,-3.1114415197154815e-05,0.057354531692977266,0.13853435269438374,a,15.324902830293958,-0.2707750185839529,0.22499999999999998,-15.282143260554012,7.798175679571492,7.812996596972117,7.825474029016692,7.798175679571492,7.812996596972117,7.825474029016692,7.812215435186768,0.011158184766028041,-0.014039755615275595,0.0007811617853494823,0.013258593829924337
3,1,1,-1.000142373407945,0.06619152965410213,0.06652023181448301,linked,0,0,0,-15.280690395096487,7.796931732513945,7.812155779282385,7.8259142363971765,7.796931732513945,7.812155779282385,7.8259142363971765,7.811667249397836,0.011837099276468352,-0.014735516883890298,0.0004885298845493935,0.014246986999340905
3,1,0,-8.412806803577195e-05,0.05666888476276493,0.06652023181448301,b,26.41295885881219,-0.08252711142877628,0.16999999999999998,-15.281774723250805,7.797352329634233,7.813300516387842,7.827242969797785,7.797352329634233,7.813300516387842,7.827242969797785,7.812631938606619,0.012211956969405026,-0.015279608972385894,0.0006685777812229787,0.014611031191166468
4,1,1,-1.000211214837723,0.061381643099937364,0.07170790590979635,linked,0,0,0,-15.280916870319924,7.797100471545903,7.812365071883479,7.825163219629972,7.797100471545903,7.812365071883479,7.825163219629972,7.811542921019785,0.011471309327752754,-0.014442449473881958,0.0008221508636943042,0.013620298610186765
4,1,0,-9.483813944655225e-05,0.056566676150056276,0.07170790590979635,split,27.380419797213186,-0.22041839077194778,0.205,-15.279580633670715,7.795714348785373,7.811154909359991,7.8242606214165615,7.795714348785373,7.811154909359991,7.8242606214165615,7.810376626520642,0.011666953713146399,-0.014662277735268958,0.0007782828393487762,0.013883994895919294
5,1,1,-1.0001676267198327,0.05545768064297726,0.06387400685090477,linked,0,0,0,-15.28072851574806,7.796850576667397,7.812553374017314,7.825702932131711,7.796850576667397,7.812553374017314,7.825702932131711,7.811702294272141,0.011794288349571972,-0.014851717604744685,0.0008510797451730667,0.014000637859569842
5,1,0,-1.571040222757673e-05,0.05548207986055731,0.06387400685090477,a,15.275474553060523,-0.3988373538434347,0.16499999999999998,-15.280144071741876,7.796470987565077,7.811698739220165,7.824786170029859,7.796470987565077,7.811698739220165,7.824786170029859,7.810985298938367,0.01157062767759364,-0.014514311373289956,0.0007134402817978724,0.013800871091492084
6,2,1,-1.0001629464811623,0.06937493132000735,0.08809918174747937,linked,0,0,0,-15.281154687391641,7.797246912778294,7.812650522163492,7.825417439133292,7.797246912778294,7.812650522163492,7.825417439133292,7.811771624691693,0.011517348779236219,-0.014524711913399102,0.0008788974717983677,0.013645814441598958
6,2,0,-8.24671974869618e-05,0.0556287088534187,0.08809918174747937,split,18.732427988400822,-0.15716642027674338,0.12499999999999999,-15.279776954852366,7.795911009768053,7.811383649047759,7.824466085834691,7.795911009768053,7.811383649047759,7.824466085834691,7.810586914883501,0.011671166216770647,-0.014675905115447918,0.0007967341642576287,0.013879170951189401
7,2,1,-1.0001331407867127,0.06464651424607985,0.05251286978329957,linked,0,0,0,-15.281196675704045,7.797267912078901,7.8127853624594295,7.825247100054299,7.797267912078901,7.8127853624594295,7.825247100054299,7.811766791530876,0.01144514030766,-0.014498879451974922,0.0010185709285535083,0.01348030852342319
7,2,0,1.3924444360896706e-05,0.05929028827230862,0.05251286978329957,a,14.48419615318563,-0.30084422977320746,0.12499999999999999,-15.280212496578308,7.796426295068393,7.812177203444531,7.824128454461021,7.796426295068393,7.812177203444531,7.824128454461021,7.810910650991315,0.011344764580815753,-0.014484355922921743,0.00126655245321583,0.013217803469705913
8,2,1,-1.0002004718655735,0.06282074723175614,0.051792978330056354,linked,0,0,0,-15.281013109728384,7.797130642900816,7.812814765331008,7.825898690086858,7.797130642900816,7.812814765331008,7.825898690086858,7.811948032772894,0.011760486206504014,-0.014817389872077591,0.0008667325581139806,0.013950657313964498
8,2,0,-7.636651151591847e-05,0.05718128301522171,0.051792978330056354,b,27.31202690656287,-0.2553683659654062,0.12,-15.281632626520224,7.796846228271192,7.813674608095563,7.827069404875487,7.796846228271192,7.813674608095563,7.827069404875487,7.8125300804140805,0.012365073358021028,-0.01568385214288881,0.0011445276814825434,0.014539324461406267
9,3,1,-1.0001676759782614,0.053734378298365505,0.06485568679203507,linked,0,0,0,-15.280271953470063,7.796514017807284,7.811849428027326,7.825013240053985,7.796514017807284,7.811849428027326,7.825013240053985,7.811125561962864,0.011646012299672206,-0.014611544155580525,0.0007238660644617312,0.01388767809112057
9,3,0,-7.931756941620447e-05,0.05579940217379635,0.06485568679203507,split,21.90233482890399,0.12934359455307726,0.20999999999999996,-15.279965178455313,7.796086654915406,7.811624981157974,7.824783827119198,7.796086654915406,7.811624981157974,7.824783827119198,7.810831821064192,0.011728988314550581,-0.014745166148785849,0.0007931600937816086,0.013952006055006017
10,3,1,-1.0001492486738353,0.06748166298345602,0.04726790843576691,linked,0,0,0,-15.281504941971939,7.797369510040487,7.81347938464473,7.825676102527426,7.797369510040487,7.81347938464473,7.825676102527426,7.812174999070881,0.011592867371775359,-0.014805489030393915,0.001304385573849487,0.013501103456545316
10,3,0,-7.615499270695619e-05,0.05844096632088666,0.04726790843576691,split,18.91962414676249,0.06302921983889459,0.185,-15.280105549741442,7.79610221601212,7.812301824008444,7.824473615689642,7.79610221601212,7.812301824008444,7.824473615689642,7.810959218570068,0.01162141763979457,-0.01485700255794864,0.0013426054383760544,0.013514397119573474
11,3,1,-1.0001559162089428,0.05484185820454465,0.06813971410032593,linked,0,0,0,-15.280720225416445,7.796893585236544,7.812322809322685,7.8253349264065415,7.796893585236544,7.812322809322685,7.8253349264065415,7.81151710698859,0.011625097535803508,-0.014623521752045399,0.0008057023340954927,0.013817819417951682
11,3,0,-0.00013803874189111353,0.05676182742145394,0.06813971410032593,b,27.18244162806714,-0.30311963766421124,0.14999999999999997,-15.281523276847162,7.796702303506197,7.814373322770388,7.826446740237666,7.796702303506197,7.814373322770388,7.826446740237666,7.8125074555047505,0.012214580757106677,-0.01580515199855359,0.001865867265637533,0.01393928473291517
12,4,1,-1.0001889715698606,0.06627948857140337,0.1178906686548576,linked,0,0,0,-15.280751349662264,7.796890910731794,7.812196405132543,7.825875195308469,7.796890910731794,7.812196405132543,7.825875195308469,7.811654170390935,0.011838994945846499,-0.014763259659140715,0.00054223474160775,0.014221024917533853
12,4,0,-4.581261228246066e-05,0.05705997404563874,0.1178906686548576,split,17.926344113822033,-0.1346665272049012,0.32999999999999996,-15.28216360943997,7.7976244711078495,7.815035235962142,7.826814302646804,7.7976244711078495,7.815035235962142,7.826814302646804,7.813158003238932,0.01199040083680712,-0.015533532131082772,0.0018772327232099428,0.013656299407871941
13,4,1,-1.0001553778050964,0.053944984232058624,0.08978760334796101,linked,0,0,0,-15.280248429049967,7.7965394004538995,7.811672466847203,7.825279942422093,7.7965394004538995,7.811672466847203,7.825279942422093,7.811163936574399,0.011738785866665748,-0.01462453612049952,0.0005085302728042862,0.014116005847694346
13,4,0,-4.4220287796084714e-05,0.05608568285150167,0.08978760334796101,split,25.07004362418687,-0.2738696601154168,0.22999999999999998,-15.279784045938692,7.79555174090478,7.812577426819966,7.824849342689967,7.79555174090478,7.812577426819966,7.824849342689967,7.810992836804904,0.01201306404788052,-0.015441095900124324,0.0015845900150619485,0.013856505885062376
14,4,1,-1.0002041317841266,0.058831457453937336,0.07184859077370252,linked,0,0,0,-15.280518312938959,7.796790508540065,7.811945596430115,7.825075230072244,7.796790508540065,7.811945596430115,7.825075230072244,7.8112704450141415,0.01155705383778228,-0.014479936474076638,0.0006751514159732963,0.013804785058102453
14,4,0,-4.398398396681058e-05,0.055584777529149434,0.07184859077370252,b,21.804638113907227,-0.1878764913067676,0.23499999999999996,-15.279803192470883,7.7951983707911845,7.81403850905484,7.824684303412914,7.7951983707911845,7.81403850905484,7.824684303412914,7.811307061086313,0.012191545202772564,-0.016108690295128625,0.002731447968526979,0.013377242326600758
