EGS12004280|D   | 5.2| |14 17 00.9 +52 27 01.3|14 17 00.9 +52 27 01.3|1.023|2.8x2.5
EGS12004351|D   | 5.2| |14 17 02.0 +52 26 58.5|14 17 01.8 +52 27 00.2|1.017|2.8x2.4
EGS12004754|C   | 5.4| |14 16 42.1 +52 25 19.1|14 16 42.0 +52 25 18.4|1.026|1.6x1.4
EGS12007881|ABCD| 9.4| |14 18 03.6 +52 30 22.2|14 18 03.5 +52 30 22.6|1.160|1.1x0.9
EGS12011767|ACD | 7.7| |14 18 24.8 +52 32 55.4|14 18 24.7 +52 32 54.8|1.282|2.0x1.6
EGS12012083|CD  | 7.0| |14 17 56.8 +52 32 00.3|14 17 56.8 +52 31 59.4|1.119|3.6x2.6
EGS12015684|D   | 7.0| |14 18 42.1 +52 36 20.1|14 18 42.0 +52 36 20.4|1.374|4.2x2.7
EGS12020405|D   | 4.2| |14 18 05.0 +52 40 25.3|14 18 05.0 +52 40 26.2|1.379|6.3x3.0
EGS12023832|D   |12.2| |14 19 06.1 +52 43 12.3|14 19 06.1 +52 43 11.1|1.351|3.7x2.9
EGS12024462|D   |14.5| |14 18 37.5 +52 44 19.0|14 18 37.4 +52 44 18.8|1.398|4.1x3.0
EGS12024866|C   | 7.2| |14 18 19.3 +52 42 21.5|14 18 19.2 +52 42 21.1|1.002|1.8x1.5
EGS12028325|C   |18.0| |14 18 59.2 +52 47 16.9|14 18 59.2 +52 47 16.9|1.159|1.8x1.6
EGS13003805|AC  | 9.5| |14 19 40.1 +52 49 39.1|14 19 40.1 +52 49 38.5|1.230|0.8x0.6
EGS13004291|AD  | 7.3| |14 19 15.0 +52 49 29.9|14 19 15.0 +52 49 30.0|1.145|0.7x0.6
EGS13004661|CD  |21.8| |14 18 40.9 +52 48 36.2|14 18 40.8 +52 48 35.4|1.192|2.1x1.8
EGS13004684|C   | 8.0| |14 18 55.8 +52 47 49.5|14 18 55.8 +52 47 49.9|1.014|1.8x1.4
EGS13011148|C   | 7.2| |14 19 29.8 +52 53 13.6|14 19 29.8 +52 53 13.3|1.173|1.9x1.6
EGS13011155|D   | 5.9| |14 19 41.6 +52 52 56.5|14 19 41.6 +52 52 55.6|1.012|3.1x2.5
EGS13011166|ABC |31.4| |14 19 45.  +52 52 28. |14 19 45.2 +52 52 27.3|1.529|0.8x0.7
EGS13011439|C   | 7.1| |14 19 09.5 +52 53 06.4|14 19 09.4 +52 53 05.4|1.099|1.6x1.6
EGS13017614|D   | 9.3| |14 20 24.3 +52 55 41.3|14 20 24.2 +52 55 41.4|1.180|3.1x2.5
EGS13017707|C   |11.4| |14 20 13.  +52 55 34. |14 20 13.0 +52 55 33.1|1.037|1.6x1.5
EGS13017843|D   |10.8| |14 20 18.9 +52 56 05.1|14 20 18.9 +52 56 06.3|1.052|3.3x3.0
EGS13017973|C   | 8.9| |14 20 13.1 +52 56 13.7|14 20 13.0 +52 56 13.3|1.031|2.0x1.5
EGS13018076|CD  |12.7|a|14 20 10.8 +52 53 41.5|14 20 10.8 +52 53 41.9|1.227|2.2x1.8
EGS13018312|D   | 9.2| |14 19 58.3 +52 55 49.4|14 19 58.2 +52 55 48.9|1.105|3.8x2.7
EGS13018632|D   |16.8| |14 19 49.1 +52 56 39.2|14 19 49.0 +52 56 38.8|1.229|3.7x3.0
EGS13019114|D   |10.9| |14 19 41.1 +52 56 16.3|14 19 41.1 +52 56 16.6|1.105|3.2x2.6
EGS13019128|ABCD|22.8| |14 19 38.1 +52 55 40.9|14 19 38.1 +52 55 40.5|1.350|1.9x1.5
EGS13026117|AD  |16.3| |14 20 26.5 +52 59 39.6|14 20 26.4 +52 59 39.3|1.241|0.8x0.5
EGS13033624|D   | 2.3| |14 20 48.  +53 03 45. |14 20 47.6 +53 03 49.4|1.317|4.0x2.9
EGS13033731|D   |24.8| |14 20 43.3 +53 03 48.5|14 20 43.4 +53 03 49.4|1.317|4.0x2.9
EGS13034445|D   | 6.5| |14 20 30.8 +53 01 48.5|14 20 30.6 +53 01 48.3|1.168|3.8x2.6
EGS13034339|D   |12.5| |                      |14 20 21.9 +53 02 22.2|1.440|4.0x3.2
EGS13034541|D   |12.5| |                      |14 20 22.2 +53 02 14.8|1.442|4.0x3.2
EGS13034542|D   |12.5| |14 20 21.2 +53 02 14.8|14 20 21.2 +53 02 12.7|1.435|4.0x3.2
EGS13035123|ABCD|14.3| |14 20 05.5 +53 01 15.6|14 20 05.4 +53 01 15.3|1.115|0.8x0.6
EGS13042293|C   |10.4| |14 20 40.8 +53 04 59.2|14 20 40.8 +53 04 59.1|1.393|2.0x1.8
zC406690   |D   |16.6| |09 58 59.1 +02 05 04.2|09 58 59.1 +02 05 04.0|2.196|5.4x4.3
HDF-BX1439 |D   | 9.3| |12 36 53.7 +62 17 24.3|12 36 53.7 +62 17 22.8|2.187|5.2x4.0
Q1623-MD66 |D   | 4.5| |16 25 40.4 +26 50 08.9|                      |     |4.8x4.1
Q1623-BX453|BC  |12.8| |16 25 50.8 +26 49 31.4|16 25 50.9 +26 49 31.1|2.182|1.6x1.1
Q1623-BX528|D   |12.2| |16 25 56.4 +26 50 15.4|16 25 56.6 +26 50 13.8|2.268|4.8x3.9
Q1623-BX599|BCD |26.1| |16 26 02.5 +26 45 31.9|16 26 02.6 +26 45 31.2|2.330|2.1x1.8
Q1623-BX663|C   | 4.8| |16 26 04.6 +26 48 00.2|16 26 04.6 +26 47 59.9|     |2.7x2.5
Q1700-MD94 |D   | 6.0| |17 00 42.0 +64 11 24.2|17 00 42.1 +64 11 24.0|2.333|5.1x4.5
Q1700-MD69 |D   | 7.1| |17 00 47.6 +64 09 44.8|17 00 47.6 +64 09 44.4|2.289|5.9x3.9
Q1700-MD174|D   |13.4| |17 00 54.5 +64 16 24.8|17 00 54.3 +64 16 23.3|2.340|6.1x4.4
Q1700-MD103|D   | 6.2| |17 01 00.2 +64 11 55.5|                      |     |5.8x4.4
Q1700-BX561|D   | 6.6| |17 01 04.2 +64 10 43.8|17 01 04.4 +64 10 43.8|2.434|5.0x4.7
Q1700-BX691|CD  |10.3| |17 01 06.0 +64 12 10.3|17 01 06.1 +64 12 10.9|2.189|3.6x3.3
Q2343-BX610|AC  |19.8| |23 46 09.4 +12 49 19.2|23 46 09.4 +12 49 19.3|2.211|1.5x0.7
Q2343-BX513|CD  |12.3| |23 46 11.1 +12 48 32.1|23 46 11.1 +12 48 31.7|2.109|3.2x2.8
Q2343-BX442|D   |11.8| |23 46 19.4 +12 47 59.7|23 46 19.3 +12 47 58.8|2.175|4.8x4.4
Q2343-MD59 |C   | 8.5| |23 46 26.9 +12 47 39.9|23 46 26.9 +12 47 39.9|2.011|3.1x2.0
Q2343-BX389|C   |10.9| |23 46 28.9 +12 47 33.6|                      |     |3.2x2.5
Q2343-BX474|C   |10.2| |23 46 32.9 +12 48 14.1|                      |     |2.8x2.4
Q2346-BX482|D   |31.1| |23 48 13.0 +00 25 46.3|23 48 13.1 +00 25 42.0|2.264|5.4x4.3
