EGS12004280  |Disk(A)       |154.  | 4.7|    |100| 1.24|0.24 | 7.9E+09| 7.0E+10|4.1E+10|0.63|2.70|-0.14
EGS12004351  |Merger        |302.  | 5.7| 5.7|150| 2.53|0.34 | 1.6E+10| 1.4E+11|8.0E+10|0.64|2.84|-0.14
EGS12004754  |Disk(A)       | 69.  | 6.5|    | 53| 0.73|0.07 | 4.7E+09| 4.1E+10|9.3E+10|0.31|2.19|-0.70
EGS12007881  |Disk(A)       |220.  | 5.7| 5.6| 94| 1.03|0.07 | 8.5E+09| 7.5E+10|5.2E+10|0.59|2.57|-0.34
EGS12011767  |Int. disk     |147.  | 5.8| 6.4| 76| 0.38|0.03 | 3.8E+09| 3.3E+10|2.8E+10|0.54|2.20|-0.44
EGS12012083  |Int. disks    |350.  | 5.0|    |137| 2.27|0.35 | 1.7E+10| 1.5E+11|1.1E+11|0.58|2.99|-0.06
EGS12015684  |Disk(B)       | 59.  | 4.0| 9.8|113| 0.51|0.06 | 5.8E+09| 5.1E+10|4.6E+10|0.53|2.71| 0.05
EGS12020405  |Amorph        |147.  | 5.0|    |163| 1.05|0.20 | 1.2E+10| 1.1E+11|4.1E+10|0.72|2.83| 0.02
EGS12023832  |Disk(A)       |215.  | 4.7|    |115| 0.35|0.02 | 3.8E+09| 3.4E+10|5.9E+10|0.36|2.39|-0.08
EGS12024462  |Disk(A)       |253.  | 8.6|    | 78| 0.49|0.07 | 5.8E+09| 5.1E+10|6.0E+10|0.46|2.04|-0.77
EGS12024866  |Disk(A)       |221.  | 4.6|    | 31| 0.60|0.10 | 3.7E+09| 3.2E+10|2.5E+10|0.57|2.38|-0.63
EGS12028325  |Amorph        |102.  | 3.3|    | 89| 0.22|0.01 | 1.8E+09| 1.6E+10|2.6E+10|0.38|2.37| 0.12
EGS13003805  |Disk(A)       |384.  | 5.7| 3.5|200| 2.65|0.09 | 2.4E+10| 2.1E+11|1.7E+11|0.56|3.03| 0.00
EGS13004291  |Late merger   |311.  | 3.1| 3.9|630| 4.6 |0.09 | 4.0E+10| 3.5E+11|9.3E+10|0.79|3.76| 1.02
EGS13004661  |Disk(A)       |171.  | 5.0|    | 60| 0.43|0.01 | 3.7E+09| 3.3E+10|3.0E+10|0.53|2.32|-0.42
EGS13004684  |Disk(A)       |295.  | 5.0| 5.3| 42| 1.51|0.11 | 9.5E+09| 8.3E+10|1.1E+11|0.44|2.72|-0.57
EGS13011148  |Disk(A)       |247.  | 5.2| 5.9| 52| 0.62|0.04 | 5.2E+09| 4.6E+10|1.1E+11|0.29|2.43|-0.51
EGS13011155  |Disk(A)       |296.  | 7.8|    |201| 2.08|0.44 | 1.3E+10| 1.1E+11|1.2E+11|0.49|2.48|-0.28
EGS13011166  |Disk(A)       |342.  | 6.5| 6.3|373| 2.11|0.14 | 2.9E+10| 2.6E+11|1.2E+11|0.68|2.99| 0.15
EGS13011439  |Amor.Comp     | 93.  | 2.6|    | 63| 0.9 |0.19 | 6.6E+09| 5.8E+10|8.3E+10|0.41|3.13| 0.17
EGS13017614  |Disk(A)       |236.  | 4.5|    | 88| 1.50|0.18 | 1.3E+10| 1.1E+11|1.3E+11|0.46|2.94|-0.17
EGS13017707  |Disk(A)       |143.  | 3.6| 5.3|351| 1.63|0.05 | 1.1E+10| 9.4E+10|7.4E+10|0.56|3.06| 0.63
EGS13017843  |Disk(B)       |106.  | 4.2|    | 35| 0.93|0.19 | 6.3E+09| 5.6E+10|4.0E+10|0.58|2.70|-0.50
EGS13017973  |Disk(A)       | 69.  | 7.2| 6.1| 55| 0.58|0.03 | 3.7E+09| 3.3E+10|4.4E+10|0.43|2.00|-0.77
EGS13018076  |Amor.Clump    | 57.  | 8.0|    | 71| 0.14|0.04 | 1.2E+09| 1.1E+10|1.0E+11|0.09|1.43|-0.76
EGS13018312  |Amor.Comp     |218.  | 4.0|    | 35| 0.99|0.03 | 7.3E+09| 6.5E+10|6.8E+10|0.49|2.81|-0.46
EGS13018632  |Comp. Disk?   |182.  | 1.9|    | 82| 0.43|0.01 | 3.9E+09| 3.4E+10|5.2E+10|0.40|3.18| 0.56
EGS13019114  |Disk(A)       |327.  | 7.2| 3.7| 47| 0.82|0.10 | 6.1E+09| 5.4E+10|6.6E+10|0.45|2.22|-0.84
EGS13019128  |Disk(A)       |181.  | 5.2| 3.0| 87| 0.45|0.00 | 4.9E+09| 4.3E+10|4.4E+10|0.50|2.41|-0.29
EGS13026117  |Disk(A)       |122.  | 3.2| 2.1|113| 1.72|0.05 | 1.6E+10| 1.4E+11|1.3E+11|0.53|3.34| 0.24
EGS13033624  |Disk(A)       |301.  | 5.3|    |148| 1.35|0.07 | 1.0E+10| 8.8E+10|8.9E+10|0.50|2.70|-0.08
EGS13033731  |Disk(A)       |680.  | 5.5|    | 28| 0.44|0.01 | 4.6E+09| 4.0E+10|2.8E+10|0.59|2.33|-0.82
EGS13034445  |Inter.Disk?   |      | 3.7|    | 35| 0.45|0.065| 3.7E+09| 3.3E+10|1.2E+11|0.22|2.58|-0.39
EGS13034339  |Disk(A)       |187.  | 3.0| 6.9| 86| 0.48|0.15 | 6.0E+09| 5.3E+10|6.6E+10|0.44|2.97| 0.18
EGS13034541  |Disk(A)       |330.  | 8.0|    |183| 0.73|0.04 | 9.1E+09| 8.0E+10|9.3E+10|0.46|2.30|-0.34
EGS13034542  |Disk(A/B)     | 84.  | 4.0|    | 61| 0.15|0.01 | 1.8E+09| 1.6E+10|5.2E+10|0.23|2.20|-0.22
EGS13035123  |Disk(A)       |193.  |11.2|11.6| 87| 1.36|0.06 | 1.0E+10| 9.0E+10|1.5E+11|0.37|2.06|-0.96
EGS13042293  |Disk(A)       |140.  | 5.2|    | 55| 0.26|0.03 | 3.0E+09| 2.6E+10|3.9E+10|0.40|2.19|-0.49
zC406690     |Disk(A)       |224.  | 6.3|    |480| 0.35|0.08 | 9.4E+09| 8.2E+10|4.0E+10|0.66|2.52| 0.28
HDF-BX1439   |              |285.  | 4.1|    | 80| 0.15|0.05 | 4.0E+09| 3.6E+10|5.7E+10|0.38|2.53|-0.12
Q1623-MD66   |              |208.  | 2.7|    |246|-0.50|0.17 |-1.2E+10|-1.1E+11|3.9E+10|0.74|3.39| 0.75
Q1623-BX453  |Compact       |162.  | 2.0|    |246| 0.38|0.05 | 1.0E+10| 8.9E+10|3.0E+10|0.75|3.55| 0.99
Q1623-BX528  |Merger        |144.  | 4.6|    | 59|-0.19|0.06 |-5.4E+09|-4.8E+10|6.9E+10|0.41|2.55|-0.35
Q1623-BX599  |Merger/Disk   |284.  | 1.7|    |131| 0.19|0.04 | 5.7E+09| 5.0E+10|5.7E+10|0.46|3.44| 0.86
Q1623-BX663  |Disk(A)       |264.  | 4.7|    |144|-0.28|0.10 |-9.0E+09|-7.9E+10|6.4E+10|0.55|2.76| 0.02
Q1700-MD94   |              |299.  | 4.8|    |271| 1.24|0.20 | 3.7E+10| 3.3E+11|1.5E+11|0.68|3.35| 0.27
Q1700-MD69   |              |146.  | 4.7|    |164| 0.38|0.06 | 1.1E+10| 9.6E+10|1.9E+11|0.34|2.84| 0.07
Q1700-MD174  |              |645.  | 1.8|    |159| 0.64|0.08 | 1.9E+10| 1.7E+11|2.4E+11|0.42|3.92| 0.89
Q1700-MD103  |Inter.Disk    |130.  | 4.2|    |104|-0.41|0.13 |-1.2E+10|-1.1E+11|6.6E+10|0.61|2.98|-0.03
Q1700-BX561  |              |182.  | 1.0|    | 17| 0.12|0.04 | 3.8E+09| 3.4E+10|1.2E+11|0.23|3.78| 0.48
Q1700-BX691  |Disk(A)       |164.  | 3.9|    | 50| 0.18|0.05 | 4.7E+09| 4.1E+10|7.6E+10|0.35|2.65|-0.27
Q2343-BX610  |Disk(A)       |216.  | 4.6| 3.8|212| 0.95|0.05 | 2.6E+10| 2.3E+11|1.0E+11|0.70|3.23| 0.20
Q2343-BX513  |Disp.Dominated| 98.  | 2.1|    | 28| 0.15|0.05 | 3.6E+09| 3.2E+10|2.7E+10|0.54|3.08| 0.03
Q2343-BX442  |Disk(A)       |252.  | 4.3|    |145| 0.27|0.07 | 7.0E+09| 6.2E+10|1.2E+11|0.34|2.73| 0.10
Q2343-MD59   |Disk(B)       |168.  | 2.8|    | 26| 0.47|0.09 | 6.2E+10| 9.5E+10|7.6E+10|0.56|3.30|-0.26
Q2343-BX389  |Disk(A)       |330.  | 4.2|    |196|-0.51|0.17 |-1.3E+10|-1.2E+11|4.1E+10|0.74|3.04| 0.26
Q2343-BX474  |              |      | 3.5|    | 62|-0.29|0.10 |-8.0E+09|-7.0E+10|1.5E+11|0.32|2.96|-0.09
Q2346-BX482se|Disk(A)       |202.  | 2.4|    | 34| 0.32|0.06 | 9.2E+09| 8.1E+10|6.0E+09|0.93|3.34|-0.04
BzK4171      |Disk(A)       |247.  | 4.5| 5.7|101| 0.65|0.08 | 1.9E+10| 9.6E+10|4.0E+10|0.71|2.88|-0.10
BzK210000    |Disk(A)       |203.  | 4.7| 3.1|231| 0.64|0.07 | 2.0E+10| 1.0E+11|7.8E+10|0.56|2.86| 0.22
BzK16000     |Disk(B)       |258.  | 4.0| 5.1| 82| 0.46|0.06 | 1.4E+10| 7.3E+10|4.3E+10|0.63|2.86|-0.09
BzK17999     |Disk(A)       |  2.06| 4.7| 3.2|450| 0.57|0.06 | 1.5E+10| 7.9E+10|3.9E+10|0.67|2.75| 0.51
BzK12591     |Disk(B)       |494.  | 4.5|    |267| 0.84|0.15 | 2.9E+10| 1.5E+11|1.1E+11|0.57|3.06| 0.32
BzK25536     |Disk(B)       | 78.  | 3.0|    | 62| 0.36|0.14 | 1.0E+10| 5.3E+10|3.3E+10|0.61|2.97| 0.04
cB58         |              |120.  | 1.5|    | 63| 0.37|0.08 | 4.6E+08| 4.0E+09|5.0E+09|0.45|2.45| 0.65
Cosmic Eye   |              |100.  | 1.8|    | 45| 0.50|0.07 | 3.0E+09| 2.6E+10|3.4E+10|0.44|3.14| 0.37
J2135-0102   |Disk(A)       |320.  | 1.5|    |230|13.20|0.01 | 1.2E+10| 8.0E+10|1.7E+10|0.82|3.75| 1.21
PEPJ123712   |              |      | 4.0|    | 47| 0.15|0.04 | 3.2E+09| 1.9E+10|4.2E+10|0.43|2.27|-0.33
PEPJ123709   |              |      | 4.0|    | 37| 0.28|0.05 | 5.7E+09| 3.4E+10|2.3E+10|0.56|2.52|-0.43
PEPJ123759   |              |      | 4.0|    | 45| 0.44|0.05 | 7.1E+09| 4.2E+10|3.8E+10|0.58|2.62|-0.35
PEPJ123633   |              |      | 4.0|    |110| 0.78|0.19 | 1.1E+10| 6.5E+10|9.3E+10|0.43|2.81| 0.04
PEPJ123646   |              |      | 4.0|    | 51| 0.40|0.09 | 5.7E+09| 3.3E+10|1.2E+11|0.20|2.52|-0.29
PEPJ123750   |              |      | 4.0|    | 30| 0.53|0.08 | 9.9E+09| 5.8E+10|2.0E+11|0.23|3.36| 0.08
