name,z,Re_kpc,fDM,Vcirc,logMstar,logMbar_fit
U4-38210,0.61,8.10,0.44,240,10.85,10.99
U4-20688,0.63,9.57,0.67,275,11.00,10.81
EGS3-10098,0.66,2.95,0.14,271,11.11,10.93
U3-21388,0.67,7.81,0.70,205,10.76,10.64
EGS4-21351,0.73,4.16,0.06,159,10.94,10.61
GS4-00984,0.73,5.25,0.79,116,9.48,9.72
EGS4-11261,0.75,5.02,0.20,294,11.25,11.12
GS4-13143,0.76,5.51,0.41,147,9.82,10.33
U3-08493,0.79,3.79,0.10,267,10.77,11.08
COS4-05656,0.80,4.99,0.27,181,10.68,10.61
COS4-05925,0.80,5.72,0.36,257,10.63,10.95
U3-03856,0.80,7.54,0.64,212,10.59,10.62
U3-05138,0.81,7.60,0.38,136,10.20,10.46
U4-42393,0.82,2.61,0.08,335,10.93,11.15
GS4-03228,0.82,6.79,0.70,142,9.49,10.08
GS4-32976,0.83,7.73,0.57,235,10.37,10.70
GS3-23200,0.83,6.72,0.63,127,10.07,10.25
COS4-01351,0.85,7.52,0.38,267,10.73,11.13
COS4-06487,0.91,4.97,0.38,286,10.85,10.91
COS3-18434,0.91,6.75,0.50,232,10.77,10.73
U4-19954,0.91,8.63,0.17,260,11.13,11.21
COS3-22796,0.91,9.93,0.53,152,10.32,10.61
U4-13849,0.91,6.79,0.31,213,10.71,10.88
U4-22199,0.91,4.93,0.02,117,10.60,10.46
U3-15226,0.92,5.79,0.28,182,11.11,10.72
GS4-05881,0.99,5.71,0.74,193,9.78,10.21
GS3-30840,1.02,5.82,0.65,207,10.31,10.51
GS4-29973,1.02,5.09,0.74,135,9.59,9.90
GS3-27242,1.02,2.85,0.12,259,10.64,10.85
COS3-16954,1.03,8.26,0.59,269,10.74,10.90
COS3-04796,1.03,9.60,0.42,266,10.80,11.18
EGS-13035123,1.12,10.19,0.19,196,11.18,11.08
EGS-13004291,1.20,3.65,0.04,284,10.97,11.11
EGS-13003805,1.23,5.94,0.05,321,11.23,11.46
GS4-30432,1.31,7.21,0.52,208,10.70,10.66
GS4-14356,1.36,5.59,0.46,193,10.57,10.72
EGS4-38153,1.36,5.11,0.35,314,10.44,11.16
GS4-27441,1.38,7.21,0.46,271,10.82,11.06
EGS4-24985,1.40,4.64,0.31,288,10.90,11.03
U4-27256,1.42,6.37,0.14,168,10.49,10.83
U4-32570,1.42,8.01,0.55,252,10.89,10.81
U4-28358,1.42,3.14,0.15,294,10.96,10.98
zC-403741,1.45,3.01,0.08,180,10.65,10.55
U4-33383,1.48,4.98,0.28,92,9.83,10.05
COS4-10048,1.50,7.48,0.47,160,10.34,10.56
D3a-6397,1.50,6.54,0.13,225,11.08,11.24
U4-31577,1.52,6.49,0.53,347,11.07,11.06
U4-35796,1.53,7.29,0.12,225,10.81,11.18
COS4-13890,1.53,7.19,0.34,412,11.33,11.44
EGS-13011166,1.53,6.89,0.26,320,11.08,11.25
COS4-24012,1.53,4.81,0.19,139,10.25,10.48
COS4-17808,1.59,4.46,0.10,226,10.72,10.75
GK-2540,1.61,3.13,0.27,155,10.28,10.52
GS4-43501,1.61,4.88,0.31,240,10.61,10.88
GS4-14152,1.62,6.93,0.14,350,11.30,11.52
GS4-16814,1.62,5.00,0.06,227,11.19,10.89
U4-34480,1.65,1.57,0.27,193,10.18,10.25
COS4-05606,1.66,4.29,0.35,205,9.90,10.63
U4-19708,1.66,5.88,0.32,219,11.26,10.84
